facility_name,state,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,heart_failure,heart_attack,copd,pneumonia,cabg,hip_knee_replacement
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9714,16.5879,17.0766,37,0,0,0,1,0,0
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9817,13.5491,13.8013,17,0,1,0,0,0,0
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9818,21.4155,21.8117,49,1,0,0,0,0,0
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,1.0777,11.6737,10.8319,Too Few to Report,0,0,0,0,1,0
GADSDEN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9886,18.2568,18.4675,17,0,0,1,0,0,0
MARION REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
MARION REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9562,17.2586,18.0484,Too Few to Report,1,0,0,0,0,0
MARION REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9492,14.5598,15.3390,Too Few to Report,0,0,0,1,0,0
MARION REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MARION REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
FAYETTE MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9855,16.3397,16.5804,Too Few to Report,1,0,0,0,0,0
FAYETTE MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
FAYETTE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9883,13.2847,13.4426,Too Few to Report,0,0,0,1,0,0
FAYETTE MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0488,16.6064,15.8337,Too Few to Report,0,0,1,0,0,0
FAYETTE MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0925,24.1014,22.0606,75,1,0,0,0,0,0
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0480,19.5145,18.6208,23,0,0,1,0,0,0
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,0.9659,14.4405,14.9503,Too Few to Report,0,1,0,0,0,0
RIVERVIEW REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,1.0904,18.7699,17.2133,58,0,0,0,1,0,0
MEDICAL CENTER ENTERPRISE,AL,READM-30-HF-HRRP,1.0285,18.6980,18.1807,21,1,0,0,0,0,0
MEDICAL CENTER ENTERPRISE,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MEDICAL CENTER ENTERPRISE,AL,READM-30-PN-HRRP,1.0465,15.1301,14.4573,26,0,0,0,1,0,0
MEDICAL CENTER ENTERPRISE,AL,READM-30-COPD-HRRP,1.0438,17.6314,16.8909,13,0,0,1,0,0,0
MEDICAL CENTER ENTERPRISE,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
GREENE COUNTY HOSPITAL,AL,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
GREENE COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
GREENE COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
GREENE COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
GREENE COUNTY HOSPITAL,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,1.0435,16.5639,15.8735,Too Few to Report,0,0,0,1,0,0
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
LAKE MARTIN COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
FLOWERS HOSPITAL,AL,READM-30-PN-HRRP,1.0004,15.4020,15.3965,47,0,0,0,1,0,0
FLOWERS HOSPITAL,AL,READM-30-CABG-HRRP,1.1755,12.6626,10.7725,16,0,0,0,0,1,0
FLOWERS HOSPITAL,AL,READM-30-COPD-HRRP,0.9486,18.4986,19.5012,20,0,0,1,0,0,0
FLOWERS HOSPITAL,AL,READM-30-HF-HRRP,0.9641,18.3209,19.0039,57,1,0,0,0,0,0
FLOWERS HOSPITAL,AL,READM-30-AMI-HRRP,1.0867,12.9663,11.9315,38,0,1,0,0,0,0
ST VINCENT'S BIRMINGHAM,AL,READM-30-AMI-HRRP,1.0215,12.6646,12.3975,20,0,1,0,0,0,0
ST VINCENT'S BIRMINGHAM,AL,READM-30-PN-HRRP,1.0370,16.1856,15.6080,68,0,0,0,1,0,0
ST VINCENT'S BIRMINGHAM,AL,READM-30-CABG-HRRP,1.1313,12.3784,10.9421,16,0,0,0,0,1,0
ST VINCENT'S BIRMINGHAM,AL,READM-30-COPD-HRRP,0.9772,16.3394,16.7206,12,0,0,1,0,0,0
ST VINCENT'S BIRMINGHAM,AL,READM-30-HF-HRRP,0.9489,18.6041,19.6050,78,1,0,0,0,0,0
BIBB MEDICAL CENTER,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
BIBB MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9402,13.8224,14.7021,Too Few to Report,0,0,0,1,0,0
BIBB MEDICAL CENTER,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
BIBB MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
BIBB MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
LAWRENCE MEDICAL CENTER,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
LAWRENCE MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
LAWRENCE MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9772,16.8082,17.1996,Too Few to Report,0,0,0,1,0,0
LAWRENCE MEDICAL CENTER,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
LAWRENCE MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
HIGHLANDS MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9658,15.0548,15.5882,15,0,0,0,1,0,0
HIGHLANDS MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HIGHLANDS MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9393,16.5564,17.6268,Too Few to Report,1,0,0,0,0,0
HIGHLANDS MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9980,17.3730,17.4086,Too Few to Report,0,0,1,0,0,0
HIGHLANDS MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
WIREGRASS MEDICAL CENTER,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
WIREGRASS MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9722,15.5356,15.9792,Too Few to Report,0,0,0,1,0,0
WIREGRASS MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
WIREGRASS MEDICAL CENTER,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
WIREGRASS MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
RUSSELL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9314,14.6363,15.7145,Too Few to Report,0,0,0,1,0,0
RUSSELL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0115,13.3263,13.1753,Too Few to Report,0,1,0,0,0,0
RUSSELL MEDICAL CENTER,AL,READM-30-COPD-HRRP,1.0035,15.2603,15.2076,Too Few to Report,0,0,1,0,0,0
RUSSELL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
RUSSELL MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9604,18.9587,19.7400,15,1,0,0,0,0,0
MEDICAL CENTER BARBOUR,AL,READM-30-HF-HRRP,1.0252,18.5654,18.1084,Too Few to Report,1,0,0,0,0,0
MEDICAL CENTER BARBOUR,AL,READM-30-PN-HRRP,0.9433,11.7933,12.5023,Too Few to Report,0,0,0,1,0,0
MEDICAL CENTER BARBOUR,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
MEDICAL CENTER BARBOUR,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
MEDICAL CENTER BARBOUR,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CLAY COUNTY HOSPITAL,AL,READM-30-PN-HRRP,0.9695,12.9448,13.3516,Too Few to Report,0,0,0,1,0,0
CLAY COUNTY HOSPITAL,AL,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
CLAY COUNTY HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
CLAY COUNTY HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
CLAY COUNTY HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0350,20.7547,20.0534,67,1,0,0,0,0,0
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.1409,17.0661,14.9585,40,0,1,0,0,0,0
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9644,16.0961,16.6898,41,0,0,0,1,0,0
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.8528,16.7256,19.6126,22,0,0,1,0,0,0
ATHENS LIMESTONE HOSPITAL,AL,READM-30-HF-HRRP,0.9989,19.2540,19.2744,29,1,0,0,0,0,0
ATHENS LIMESTONE HOSPITAL,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ATHENS LIMESTONE HOSPITAL,AL,READM-30-COPD-HRRP,1.0135,18.2752,18.0322,20,0,0,1,0,0,0
ATHENS LIMESTONE HOSPITAL,AL,READM-30-PN-HRRP,1.0464,15.0886,14.4197,30,0,0,0,1,0,0
ATHENS LIMESTONE HOSPITAL,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-HF-HRRP,1.0014,19.4598,19.4330,54,1,0,0,0,0,0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9840,15.2954,15.5437,39,0,0,0,1,0,0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9495,16.4861,17.3629,16,0,0,1,0,0,0
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,READM-30-AMI-HRRP,1.0180,12.5378,12.3160,15,0,1,0,0,0,0
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-PN-HRRP,0.9726,14.9667,15.3890,64,0,0,0,1,0,0
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-HF-HRRP,0.9652,18.6643,19.3369,72,1,0,0,0,0,0
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-COPD-HRRP,1.0403,16.9957,16.3374,26,0,0,1,0,0,0
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,READM-30-AMI-HRRP,0.9633,15.8423,16.4458,Too Few to Report,0,1,0,0,0,0
NORTHWEST MEDICAL CENTER,AL,READM-30-HF-HRRP,0.9898,18.6386,18.8311,Too Few to Report,1,0,0,0,0,0
NORTHWEST MEDICAL CENTER,AL,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
NORTHWEST MEDICAL CENTER,AL,READM-30-PN-HRRP,0.9250,13.9501,15.0819,Too Few to Report,0,0,0,1,0,0
NORTHWEST MEDICAL CENTER,AL,READM-30-COPD-HRRP,0.9167,16.5953,18.1026,Too Few to Report,0,0,1,0,0,0
NORTHWEST MEDICAL CENTER,AL,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
USA HEALTH UNIVERSITY HOSPITAL,AL,READM-30-AMI-HRRP,0.9903,13.8751,14.0111,Too Few to Report,0,1,0,0,0,0
